timestamp,category,ticker,title,decision,yes_bid,yes_ask,last_price,reason
2026-07-08T21:57:53,Weather,KXHIGHPHIL-26JUL09-T83,"Will the **high temp in Philadelphia** be <83° on Jul 9, 2026?",BUY YES,0.1000,0.1100,0.1100,"Model 89.5% vs Market 10.5%, edge +79.0%, confidence 81.9%"
2026-07-08T22:00:08,Weather,KXHIGHMIA-26JUL09-B90.5,"Will the **high temp in Miami** be 90-91° on Jul 9, 2026?",BUY YES,0.0500,0.0700,0.0500,"Model 65.5% vs Market 6.0%, edge +59.5%, confidence 89.5%"
2026-07-08T22:00:08,Weather,KXHIGHMIA-26JUL09-B92.5,"Will the **high temp in Miami** be 92-93° on Jul 9, 2026?",BUY NO,0.5800,0.5900,0.5900,"Model 0.1% vs Market 58.5%, edge -58.4%, confidence 89.5%"
2026-07-08T22:00:08,Weather,KXHIGHPHIL-26JUL09-B85.5,"Will the **high temp in Philadelphia** be 85-86° on Jul 9, 2026?",BUY NO,0.3700,0.3900,0.3700,"Model 0.0% vs Market 38.0%, edge -38.0%, confidence 81.9%"
2026-07-08T22:00:08,Weather,KXHIGHMIA-26JUL09-B94.5,"Will the **high temp in Miami** be 94-95° on Jul 9, 2026?",BUY NO,0.3500,0.4000,0.3800,"Model 0.0% vs Market 37.5%, edge -37.5%, confidence 89.5%"
2026-07-08T22:00:08,Weather,KXHIGHPHIL-26JUL09-B83.5,"Will the **high temp in Philadelphia** be 83-84° on Jul 9, 2026?",BUY NO,0.4200,0.4300,0.4000,"Model 9.6% vs Market 42.5%, edge -32.9%, confidence 81.9%"
2026-07-08T22:00:08,Weather,KXHIGHNY-26JUL09-T83,"Will the **high temp in NYC** be <83° on Jul 9, 2026?",BUY YES,0.1800,0.1900,0.1900,"Model 48.8% vs Market 18.5%, edge +30.3%, confidence 77.1%"
2026-07-08T22:00:08,Weather,KXHIGHNY-26JUL09-B85.5,"Will the **high temp in NYC** be 85-86° on Jul 9, 2026?",BUY NO,0.2900,0.3000,0.3100,"Model 3.8% vs Market 29.5%, edge -25.7%, confidence 77.1%"
2026-07-08T22:00:08,Weather,KXHIGHAUS-26JUL09-B96.5,"Will the **high temp in Austin** be 96-97° on Jul 9, 2026?",BUY NO,0.2000,0.2100,0.2000,"Model 0.2% vs Market 20.5%, edge -20.3%, confidence 90.0%"
2026-07-08T22:00:08,Weather,KXHIGHMIA-26JUL09-T90,"Will the **high temp in Miami** be <90° on Jul 9, 2026?",BUY YES,0.0000,0.0100,0.0100,"Model 20.5% vs Market 0.5%, edge +20.0%, confidence 89.5%"
2026-07-08T22:00:08,Weather,KXHIGHNY-26JUL09-B83.5,"Will the **high temp in NYC** be 83-84° on Jul 9, 2026?",BUY NO,0.4700,0.4800,0.4900,"Model 31.2% vs Market 47.5%, edge -16.3%, confidence 77.1%"
2026-07-08T22:00:08,Weather,KXHIGHCHI-26JUL09-B86.5,"Will the high temp in Chicago be 86-87° on Jul 9, 2026?",BUY NO,0.2400,0.2500,0.2600,"Model 9.1% vs Market 24.5%, edge -15.4%, confidence 77.4%"
2026-07-08T22:00:08,Weather,KXHIGHAUS-26JUL09-B100.5,"Will the **high temp in Austin** be 100-101° on Jul 9, 2026?",BUY NO,0.1500,0.1600,0.1400,"Model 0.1% vs Market 15.5%, edge -15.4%, confidence 90.0%"
2026-07-08T22:00:08,Weather,KXHIGHDEN-26JUL09-B86.5,"Will the **high temp in Denver** be 86-87° on Jul 9, 2026?",BUY NO,0.1100,0.1300,0.1200,"Model 0.7% vs Market 12.0%, edge -11.3%, confidence 71.0%"
2026-07-08T22:00:08,Weather,KXHIGHPHIL-26JUL09-B87.5,"Will the **high temp in Philadelphia** be 87-88° on Jul 9, 2026?",BUY NO,0.1000,0.1100,0.1100,"Model 0.0% vs Market 10.5%, edge -10.5%, confidence 81.9%"
2026-07-08T22:00:08,Weather,KXHIGHDEN-26JUL09-B88.5,"Will the **high temp in Denver** be 88-89° on Jul 9, 2026?",BUY NO,0.2100,0.2200,0.2100,"Model 11.2% vs Market 21.5%, edge -10.3%, confidence 71.0%"
2026-07-08T22:00:08,Weather,KXHIGHDEN-26JUL09-B90.5,"Will the **high temp in Denver** be 90-91° on Jul 9, 2026?",BUY NO,0.3500,0.3600,0.3900,"Model 26.9% vs Market 35.5%, edge -8.6%, confidence 71.0%"
2026-07-08T22:00:09,Weather,KXHIGHCHI-26JUL09-B84.5,"Will the high temp in Chicago be 84-85° on Jul 9, 2026?",BUY NO,0.4200,0.4300,0.4000,"Model 34.0% vs Market 42.5%, edge -8.5%, confidence 77.4%"
2026-07-08T22:00:09,Weather,KXHIGHNY-26JUL09-B87.5,"Will the **high temp in NYC** be 87-88° on Jul 9, 2026?",BUY NO,0.0600,0.0700,0.0600,"Model 0.0% vs Market 6.5%, edge -6.5%, confidence 77.1%"
2026-07-08T22:00:09,Weather,KXHIGHDEN-26JUL09-T91,"Will the **high temp in Denver** be >91° on Jul 9, 2026?",BUY YES,0.2900,0.3100,0.3000,"Model 35.7% vs Market 30.0%, edge +5.7%, confidence 71.0%"
2026-07-09T09:41:26,Economics,KXJOBLESSCLAIMS-26JUL16-210000,"How many initial jobless claims will there be the week ending Jul 11, 2026?",BUY NO,0.7500,0.9900,0.9900,"Model 70.7% vs Market 87.0%, edge -16.3% (FRED trend model, last actual 215000.0, forecast 215583)"
